ID;Verification;Title
hash-04-1;review;Fixed-length outputs occupy only one determinant fiber
hash-04-2;review;Projective positive-word collision lead for CHAMP-512
hash-09-1;runtime;Trivial collisions in all Eijen implementations
hash-17-1;runtime;Trivial collisions at every rate boundary
hash-18-1;runtime+static;The 384-bit digest is a prefix of the 512-bit digest
hash-20-1;runtime+static;The 384-bit digest is a prefix of the 512-bit digest
kem-01-1;runtime;Ineffective implicit rejection breaks IND-CCA security
kem-09-1;runtime;Partial rejection mask leaks the candidate shared secret
kem-11-1;static;The Level-5 implementation uses a 256-bit key-generation root
kem-12-1;static;The specified CTL-512 public-key space has at most 256 bits of support
kem-12-2;static;The Level-5 implementation returns only 384 shared-secret bits
kem-17-1;runtime;Publicly reproducible secret keys
kem-17-2;static;The Level-5 key space has at most 256 bits of support
kem-18-1;runtime;Partial rejection mask leaks the candidate shared secret
kem-24-1;review;Encryption omits the specified rounding constant
kem-29-1;runtime;The submission ships a complete public-key-only break
kem-32-1;review;Debug path retains the secret error vector
kem-39-1;review;PRF substream reuse violates the IND-CPA proof's independence premise
kex-02-1;runtime;The ephemeral key is generated once as long-term state
kex-03-1;review;Bits-versus-bytes error reduces the ephemeral secret to 64 bits
kex-06-1;static;The Level-5 static secret is generated from only 256 secret bits
kex-07-1;review;Both party identities are hard-wired to zero
sign-01-1;runtime;Trivial signature malleability violates SUF-CMA
sign-02-1;static;A 512-bit unsalted message representative caps forgery security at 256 bits
sign-03-1;runtime;Hypertree index collapse causes repeated few-time keys
sign-06-1;static;The specified message representative caps forgery security at 256 bits
sign-06-2;static;The implementation expands the entire key pair from a 256-bit root
sign-07-1;runtime;Trivial signature malleability violates SUF-CMA
sign-08-1;static;The implemented message representative caps forgery security at 256 bits
sign-12-1;runtime;Publicly reproducible signing keys
sign-15-1;review;Returned-length error causes an out-of-bounds heap disclosure
sign-15-2;runtime;Trivial hint-padding malleability violates SUF-CMA
sign-15-3;static;The ATLAS-192 challenge space is below 192 bits
sign-18-1;static;A fixed 512-bit message prehash caps forgery security at 256 bits
sign-22-1;static;The implemented message representative caps forgery security at 256 bits
sign-22-2;static;The implementation expands the complete key pair from a 256-bit root
sign-25-1;runtime;Verifier verdict is decided by stale stack contents
sign-31-1;static;A 512-bit prehash caps forgery security at 256 bits
sign-32-1;runtime;Every signature is accepted
sign-33-1;runtime;Publicly reproducible signing keys
sign-33-2;static;A 256-bit implementation prehash limits forgery security to 128 bits
sign-33-3;static;The Level-5 proof contains a 128-bit salt term
